"WorkDate","ClientProject","Job","Begin","End","Duration","Narrative"
"07/05/2018","ZZZ (General Admin)","Valuation","","","","comments"
"07/05/2018","ZZZ (General Admin)","Valuation","","","","comments"
"07/05/2018","ZZZ (General Admin)","Valuation","12:19","","","comments"
"07/05/2018","ZZZ (General Admin)","Valuation","","","","comments"
"07/05/2018","ZZZ (General Admin)","Valuation","","","","comments"
"07/05/2018","ZZZ (General Admin)","Valuation","","","","comments"
"07/05/2018","ZZZ (General Admin)","Valuation","","","","comments"
"07/05/2018","ZZZ (General Admin)","Valuation","","","","comments"
"07/05/2018","ZZZ (General Admin)","Valuation","","","","comments"
"07/05/2018","ZZZ (General Admin)","Valuation","","","","comments"
