"WorkDate","ClientProject","Job","Begin","End","Duration","Narrative"
"07/06/2018","ZZZ (General Admin)","Valuation","12:00","15:00","3","comments"
"07/06/2018","ZZZ (General Admin)","Valuation","1:00","1:45","0.75","comments"
"07/06/2018","ZZZ (General Admin)","Valuation","2:38","21:57","19.32","comments"
"07/06/2018","ZZZ (General Admin)","Valuation","","","0","comments"
"07/06/2018","ZZZ (General Admin)","Valuation","","","0","comments"
"07/06/2018","ZZZ (General Admin)","Valuation","","","0","comments"
"07/06/2018","ZZZ (General Admin)","Valuation","","","0","comments"
"07/06/2018","ZZZ (General Admin)","Valuation","","","0","comments"
"07/06/2018","ZZZ (General Admin)","Valuation","","","0","comments"
"07/06/2018","ZZZ (General Admin)","Valuation","","","0","comments"
